@relation dodgers

@attribute Date numeric
@attribute Time numeric
@attribute Reading numeric
@attribute TimeOfDay numeric

@data
6,1920,14,2
6,2220,7,2
6,2520,14,2
6,2820,11,2
6,3120,13,2
6,3420,12,2
6,3720,19,2
6,4020,7,2
6,4320,10,2
6,4620,10,2
6,1380,8,2
6,1680,9,2
6,1980,12,2
6,2280,12,2
6,2580,6,2
6,2880,8,2
6,3180,11,2
6,3480,7,2
6,3780,2,2
6,4080,3,2
6,4380,6,2
6,4680,8,2
1,0,3,0
1,300,8,0
1,600,10,0
1,900,6,0
1,1200,1,0
1,1500,4,0
1,1800,9,0
1,2100,4,0
1,2400,6,0
1,2700,13,0
1,3000,5,0
1,3300,5,0
1,60,4,0
1,360,7,0
1,660,5,0
1,960,4,0
1,1260,5,0
1,1560,1,0
1,1860,8,0
1,2160,2,0
1,2460,3,0
1,2760,0,0
1,3060,2,0
1,3360,1,0
1,120,1,0
1,420,0,0
1,720,2,0
1,1020,1,0
1,1320,2,0
1,1620,4,0
1,1920,0,0
1,2220,0,0
1,2520,0,0
1,2820,3,0
1,3120,1,0
1,3420,0,0
1,180,3,0
1,480,0,0
1,780,3,0
1,1080,0,0
1,1380,0,0
1,1680,2,0
1,1980,1,0
1,2280,1,0
1,2580,1,0
1,2880,1,0
1,3180,0,0
1,3480,3,0
1,240,1,0
1,540,2,0
1,840,1,0
1,1140,1,0
1,1440,2,0
1,1740,1,0
1,2040,2,0
1,2340,2,0
1,2640,5,0
1,2940,2,0
1,3240,5,0
1,3540,4,0
1,300,6,0
1,600,5,0
1,900,5,0
1,1200,7,0
1,1500,4,0
1,1800,5,0
1,2100,12,0
1,2400,12,0
1,2700,11,0
1,3000,12,0
1,3300,11,0
1,3600,13,0
1,360,19,0
1,660,16,0
1,960,19,0
1,1260,15,0
1,1560,8,0
1,1860,14,0
1,2160,30,0
1,2460,35,0
1,2760,20,0
1,3060,27,0
1,3360,33,0
1,3660,24,0
1,420,39,0
1,720,42,0
1,1020,36,0
1,1320,50,0
1,1620,42,0
1,1920,38,0
1,2220,38,0
1,2520,40,0
1,2820,49,0
1,3120,39,0
1,3420,43,0
1,3720,44,0
1,480,40,0
1,780,22,0
1,1080,25,0
1,1380,42,0
1,1680,37,0
1,1980,36,0
1,2280,34,0
1,2580,41,0
1,2880,37,0
1,3180,36,0
1,3480,40,0
1,3780,37,0
1,540,41,1
1,840,38,1
1,1140,36,1
1,1440,44,1
1,1740,33,1
1,2040,30,1
1,2340,41,1
1,2640,36,1
1,2940,35,1
1,3240,36,1
1,3540,35,1
1,3840,42,1
1,600,31,1
1,900,25,1
1,1200,28,1
1,1500,27,1
1,1800,23,1
1,2100,25,1
1,2400,24,1
1,2700,23,1
1,3000,20,1
1,3300,31,1
1,3600,19,1
1,3900,25,1
1,660,25,1
1,960,34,1
1,1260,8,1
1,1560,26,1
1,1860,30,1
1,2160,31,1
1,2460,28,1
1,2760,27,1
1,3060,22,1
1,3360,18,1
1,3660,30,1
1,3960,28,1
1,720,34,0
1,1020,39,0
1,1320,32,0
1,1620,28,0
1,1920,32,0
1,2220,35,0
1,2520,34,0
1,2820,35,0
1,3120,40,0
1,3420,13,0
1,3720,34,0
1,4020,30,0
1,780,34,1
1,1080,42,1
1,1380,32,1
1,1680,38,1
1,1980,45,1
1,2280,33,1
1,2580,28,1
1,2880,40,1
1,3180,32,1
1,3480,29,1
1,3780,36,1
1,4080,30,1
1,840,19,1
1,1140,31,1
1,1440,31,1
1,1740,40,1
1,2040,32,1
1,2340,29,1
1,2640,28,1
1,2940,30,1
1,3240,38,1
1,3540,26,1
1,3840,43,1
1,4140,28,1
1,900,42,1
1,1200,38,1
1,1500,43,1
1,1800,45,1
1,2100,40,1
1,2400,44,1
1,2700,57,1
1,3000,59,1
1,3300,49,1
1,3600,48,1
1,3900,52,1
1,4200,38,1
1,960,57,1
1,1260,58,1
1,1560,51,1
1,1860,55,1
1,2160,54,1
1,2460,53,1
1,2760,50,1
1,3060,35,1
1,3360,47,1
1,3660,47,1
1,3960,53,1
1,4260,40,1
1,1020,33,2
1,1320,46,2
1,1620,44,2
1,1920,39,2
1,2220,49,2
1,2520,41,2
1,2820,31,2
1,3120,40,2
1,3420,44,2
1,3720,33,2
1,4020,42,2
1,4320,45,2
1,1080,41,2
1,1380,46,2
1,1680,27,2
1,1980,45,2
1,2280,41,2
1,2580,44,2
1,2880,34,2
1,3180,43,2
1,3480,41,2
1,3780,46,2
1,4080,39,2
1,4380,52,2
1,1140,32,2
1,1440,33,2
1,1740,32,2
1,2040,23,2
1,2340,26,2
1,2640,25,2
1,2940,30,2
1,3240,32,2
1,3540,33,2
1,3840,28,2
1,4140,24,2
1,4440,22,2
1,1200,24,2
1,1500,14,2
1,1800,26,2
1,2100,15,2
1,2400,12,2
1,2700,16,2
1,3000,15,2
1,3300,18,2
1,3600,13,2
1,3900,18,2
1,4200,13,2
1,4500,22,2
1,1260,21,2
1,1560,17,2
1,1860,14,2
1,2160,20,2
1,2460,12,2
1,2760,17,2
1,3060,19,2
1,3360,24,2
1,3660,17,2
1,3960,22,2
1,4260,11,2
1,4560,17,2
1,1320,15,2
1,1620,10,2
1,1920,8,2
1,2220,18,2
1,2520,13,2
1,2820,12,2
1,3120,11,2
1,3420,14,2
1,3720,12,2
1,4020,18,2
1,4320,10,2
1,4620,7,2
1,1380,10,2
1,1680,9,2
1,1980,10,2
1,2280,4,2
1,2580,10,2
1,2880,2,2
1,3180,6,2
1,3480,5,2
1,3780,4,2
1,4080,5,2
1,4380,6,2
1,4680,7,2
4,0,6,0
4,300,5,0
4,600,4,0
4,900,4,0
4,1200,4,0
4,1500,4,0
4,1800,4,0
4,2100,2,0
4,2400,12,0
4,2700,2,0
4,3000,3,0
4,3300,1,0
4,60,1,0
4,360,3,0
4,660,3,0
4,960,0,0
4,1260,0,0
4,1560,3,0
4,1860,7,0
4,2160,3,0
4,2460,3,0
4,2760,2,0
4,3060,2,0
4,3360,2,0
4,120,3,0
4,420,3,0
4,720,1,0
4,1020,3,0
4,1320,3,0
4,1620,2,0
4,1920,2,0
4,2220,0,0
4,2520,0,0
4,2820,0,0
4,3120,2,0
4,3420,1,0
4,180,0,0
4,480,2,0
4,780,1,0
4,1080,2,0
4,1380,0,0
4,1680,1,0
4,1980,2,0
4,2280,1,0
4,2580,1,0
4,2880,1,0
4,3180,2,0
4,3480,1,0
4,240,3,0
4,540,2,0
4,840,4,0
4,1140,2,0
4,1440,3,0
4,1740,1,0
4,2040,3,0
4,2340,2,0
4,2640,2,0
4,2940,4,0
4,3240,7,0
4,3540,5,0
4,300,4,0
4,600,2,0
4,900,8,0
4,1200,2,0
4,1500,6,0
4,1800,8,0
4,2100,9,0
4,2400,13,0
4,2700,14,0
4,3000,8,0
4,3300,12,0
4,3600,13,0
4,360,9,0
4,660,9,0
4,960,15,0
4,1260,14,0
4,1560,16,0
4,1860,12,0
4,2160,21,0
4,2460,30,0
4,2760,25,0
4,3060,29,0
4,3360,32,0
4,3660,26,0
4,420,40,0
4,720,31,0
4,1020,36,0
4,1320,38,0
4,1620,51,0
4,1920,40,0
4,2220,43,0
4,2520,36,0
4,2820,38,0
4,3120,34,0
4,3420,38,0
4,3720,35,0
4,480,35,0
4,780,32,0
4,1080,29,0
4,1380,29,0
4,1680,34,0
4,1980,33,0
4,2280,42,0
4,2580,53,0
4,2880,34,0
4,3180,48,0
4,3480,41,0
4,3780,46,0
4,540,40,1
4,840,45,1
4,1140,39,1
4,1440,41,1
4,1740,29,1
4,2040,30,1
4,2340,29,1
4,2640,30,1
4,2940,36,1
4,3240,36,1
4,3540,23,1
4,3840,29,1
4,600,31,1
4,900,30,1
4,1200,35,1
4,1500,32,1
4,1800,31,1
4,2100,30,1
4,2400,31,1
4,2700,36,1
4,3000,36,1
4,3300,20,1
4,3600,25,1
4,3900,30,1
4,660,24,1
4,960,18,1
4,1260,25,1
4,1560,26,1
4,1860,30,1
4,2160,15,1
4,2460,18,1
4,2760,20,1
4,3060,24,1
4,3360,29,1
4,3660,25,1
4,3960,26,1
4,720,25,0
4,1020,27,0
4,1320,28,0
4,1620,16,0
4,1920,26,0
4,2220,27,0
4,2520,26,0
4,2820,34,0
4,3120,32,0
4,3420,26,0
4,3720,32,0
4,4020,19,0
4,780,27,1
4,1080,23,1
4,1380,24,1
4,1680,27,1
4,1980,30,1
4,2280,27,1
4,2580,32,1
4,2880,30,1
4,3180,32,1
4,3480,27,1
4,3780,38,1
4,4080,37,1
4,840,42,1
4,1140,43,1
4,1440,40,1
4,1740,33,1
4,2040,31,1
4,2340,37,1
4,2640,37,1
4,2940,42,1
4,3240,33,1
4,3540,27,1
4,3840,36,1
4,4140,35,1
4,900,37,1
4,1200,26,1
4,1500,44,1
4,1800,42,1
4,2100,36,1
4,2400,30,1
4,2700,38,1
4,3000,43,1
4,3300,47,1
4,3600,36,1
4,3900,53,1
4,4200,35,1
4,960,42,1
4,1260,33,1
4,1560,37,1
4,1860,40,1
4,2160,30,1
4,2460,36,1
4,2760,29,1
4,3060,41,1
4,3360,33,1
4,3660,40,1
4,3960,14,1
4,4260,37,1
4,1020,23,2
4,1320,42,2
4,1620,39,2
4,1920,31,2
4,2220,23,2
4,2520,28,2
4,2820,18,2
4,3120,31,2
4,3420,29,2
4,3720,22,2
4,4020,25,2
4,4320,31,2
4,1080,42,2
4,1380,35,2
4,1680,30,2
4,1980,31,2
4,2280,33,2
4,2580,31,2
4,2880,39,2
4,3180,32,2
4,3480,46,2
4,3780,33,2
4,4080,32,2
4,4380,14,2
4,1140,33,2
4,1440,31,2
4,1740,34,2
4,2040,28,2
4,2340,26,2
4,2640,28,2
4,2940,46,2
4,3240,27,2
4,3540,32,2
4,3840,20,2
4,4140,22,2
4,4440,21,2
4,1200,19,2
4,1500,21,2
4,1800,13,2
4,2100,12,2
4,2400,26,2
4,2700,27,2
4,3000,21,2
4,3300,22,2
4,3600,17,2
4,3900,15,2
4,4200,22,2
4,4500,27,2
4,1260,25,2
4,1560,29,2
4,1860,30,2
4,2160,23,2
4,2460,19,2
4,2760,19,2
4,3060,27,2
4,3360,31,2
4,3660,28,2
4,3960,32,2
4,4260,36,2
4,4560,30,2
4,1320,54,2
4,1620,39,2
4,1920,66,2
4,2220,49,2
4,2520,61,2
4,2820,35,2
4,3120,38,2
4,3420,49,2
4,3720,45,2
4,4020,44,2
4,4320,31,2
4,4620,10,2
4,1380,12,2
4,1680,13,2
4,1980,7,2
4,2280,7,2
4,2580,15,2
4,2880,10,2
4,3180,4,2
4,3480,10,2
4,3780,6,2
4,4080,10,2
4,4380,6,2
4,4680,16,2
7,0,7,0
7,300,3,0
7,600,6,0
7,900,11,0
7,1200,8,0
7,1500,6,0
7,1800,6,0
7,2100,10,0
7,2400,4,0
7,2700,7,0
7,3000,4,0
7,3300,1,0
7,60,7,0
7,360,2,0
7,660,2,0
7,960,7,0
7,1260,5,0
7,1560,2,0
7,1860,1,0
7,2160,5,0
7,2460,0,0
7,2760,3,0
7,3060,3,0
7,3360,2,0
7,120,4,0
7,420,4,0
7,720,4,0
7,1020,3,0
7,1320,1,0
7,1620,4,0
7,1920,0,0
7,2220,5,0
7,2520,4,0
7,2820,0,0
7,3120,1,0
7,3420,1,0
7,180,4,0
7,480,1,0
7,780,0,0
7,1080,0,0
7,1380,3,0
7,1680,5,0
7,1980,2,0
7,2280,1,0
7,2580,2,0
7,2880,3,0
7,3180,1,0
7,3480,3,0
7,240,0,0
7,540,1,0
7,840,3,0
7,1140,1,0
7,1440,0,0
7,1740,3,0
7,2040,1,0
7,2340,1,0
7,2640,3,0
7,2940,3,0
7,3240,5,0
7,3540,4,0
7,300,5,0
7,600,3,0
7,900,2,0
7,1200,2,0
7,1500,3,0
7,1800,12,0
7,2100,5,0
7,2400,8,0
7,2700,11,0
7,3000,6,0
7,3300,6,0
7,3600,10,0
7,360,9,0
7,660,15,0
7,960,19,0
7,1260,13,0
7,1560,17,0
7,1860,17,0
7,2160,22,0
7,2460,27,0
7,2760,29,0
7,3060,17,0
7,3360,26,0
7,3660,28,0
7,420,32,0
7,720,43,0
7,1020,40,0
7,1320,48,0
7,1620,34,0
7,1920,33,0
7,2220,36,0
7,2520,30,0
7,2820,35,0
7,3120,49,0
7,3420,29,0
7,3720,35,0
7,480,42,0
7,780,41,0
7,1080,33,0
7,1380,42,0
7,1680,41,0
7,1980,38,0
7,2280,39,0
7,2580,33,0
7,2880,50,0
7,3180,42,0
7,3480,42,0
7,3780,48,0
7,540,44,1
7,840,34,1
7,1140,39,1
7,1440,45,1
7,1740,44,1
7,2040,32,1
7,2340,46,1
7,2640,43,1
7,2940,38,1
7,3240,40,1
7,3540,38,1
7,3840,42,1
7,600,31,1
7,900,34,1
7,1200,52,1
7,1500,29,1
7,1800,32,1
7,2100,22,1
7,2400,31,1
7,2700,28,1
7,3000,43,1
7,3300,25,1
7,3600,33,1
7,3900,38,1
7,660,26,1
7,960,29,1
7,1260,32,1
7,1560,28,1
7,1860,24,1
7,2160,30,1
7,2460,29,1
7,2760,26,1
7,3060,21,1
7,3360,35,1
7,3660,32,1
7,3960,27,1
7,720,42,0
7,1020,23,0
7,1320,20,0
7,1620,23,0
7,1920,23,0
7,2220,32,0
7,2520,24,0
7,2820,31,0
7,3120,21,0
7,3420,29,0
7,3720,25,0
7,4020,25,0
7,780,26,1
7,1080,24,1
7,1380,26,1
7,1680,30,1
7,1980,26,1
7,2280,37,1
7,2580,21,1
7,2880,35,1
7,3180,30,1
7,3480,27,1
7,3780,25,1
7,4080,27,1
7,840,33,1
7,1140,23,1
7,1440,39,1
7,1740,33,1
7,2040,33,1
7,2340,31,1
7,2640,36,1
7,2940,33,1
7,3240,35,1
7,3540,46,1
7,3840,38,1
7,4140,28,1
7,900,29,1
7,1200,44,1
7,1500,38,1
7,1800,33,1
7,2100,38,1
7,2400,50,1
7,2700,40,1
7,3000,50,1
7,3300,47,1
7,3600,43,1
7,3900,40,1
7,4200,40,1
7,960,32,1
7,1260,27,1
7,1560,35,1
7,1860,36,1
7,2160,42,1
7,2460,30,1
7,2760,35,1
7,3060,30,1
7,3360,41,1
7,3660,38,1
7,3960,34,1
7,4260,31,1
7,1020,31,2
7,1320,27,2
7,1620,21,2
7,1920,35,2
7,2220,21,2
7,2520,29,2
7,2820,30,2
7,3120,33,2
7,3420,27,2
7,3720,30,2
7,4020,33,2
7,4320,34,2
7,1080,36,2
7,1380,22,2
7,1680,27,2
7,1980,30,2
7,2280,37,2
7,2580,34,2
7,2880,20,2
7,3180,33,2
7,3480,33,2
7,3780,28,2
7,4080,27,2
7,4380,42,2
7,1140,29,2
7,1440,27,2
7,1740,22,2
7,2040,23,2
7,2340,22,2
7,2640,31,2
7,2940,31,2
7,3240,24,2
7,3540,25,2
7,3840,27,2
7,4140,28,2
7,4440,21,2
7,1200,27,2
7,1500,24,2
7,1800,25,2
7,2100,21,2
7,2400,12,2
7,2700,14,2
7,3000,18,2
7,3300,25,2
7,3600,24,2
7,3900,18,2
7,4200,19,2
7,4500,26,2
7,1260,15,2
7,1560,29,2
7,1860,29,2
7,2160,24,2
7,2460,13,2
7,2760,22,2
7,3060,14,2
7,3360,33,2
7,3660,21,2
7,3960,11,2
7,4260,18,2
7,4560,18,2
7,1320,19,2
7,1620,12,2
7,1920,18,2
7,2220,21,2
7,2520,13,2
7,2820,7,2
7,3120,12,2
7,3420,16,2
7,3720,11,2
7,4020,9,2
7,4320,13,2
7,4620,20,2
7,1380,9,2
7,1680,10,2
7,1980,12,2
7,2280,5,2
7,2580,9,2
7,2880,4,2
7,3180,4,2
7,3480,6,2
7,3780,9,2
7,4080,5,2
7,4380,16,2
7,4680,8,2
7,0,11,0
7,300,7,0
7,600,6,0
7,900,8,0
7,1200,4,0
7,1500,10,0
7,1800,5,0
7,2100,7,0
7,2400,2,0
7,2700,7,0
7,3000,11,0
7,3300,5,0
7,60,1,0
7,360,2,0
7,660,5,0
7,960,2,0
7,1260,3,0
7,1560,2,0
7,1860,5,0
7,2160,3,0
7,2460,2,0
7,2760,1,0
7,3060,3,0
7,3360,2,0
7,120,3,0
7,420,3,0
7,720,3,0
7,1020,2,0
7,1320,1,0
7,1620,2,0
7,1920,5,0
7,2220,3,0
7,2520,1,0
7,2820,4,0
7,3120,1,0
7,3420,0,0
7,180,1,0
7,480,3,0
7,780,1,0
7,1080,2,0
7,1380,0,0
7,1680,1,0
7,1980,3,0
7,2280,2,0
7,2580,3,0
7,2880,1,0
7,3180,4,0
7,3480,1,0
7,240,1,0
7,540,1,0
7,840,5,0
7,1140,1,0
7,1440,2,0
7,1740,0,0
7,2040,2,0
7,2340,4,0
7,2640,7,0
7,2940,7,0
7,3240,6,0
7,3540,3,0
7,300,3,0
7,600,4,0
7,900,3,0
7,1200,5,0
7,1500,5,0
7,1800,6,0
7,2100,4,0
7,2400,9,0
7,2700,15,0
7,3000,16,0
7,3300,9,0
7,3600,16,0
7,360,11,0
7,660,14,0
7,960,9,0
7,1260,19,0
7,1560,7,0
7,1860,18,0
7,2160,18,0
7,2460,35,0
7,2760,32,0
7,3060,27,0
7,3360,24,0
7,3660,30,0
7,420,30,0
7,720,31,0
7,1020,41,0
7,1320,41,0
7,1620,34,0
7,1920,38,0
7,2220,31,0
7,2520,27,0
7,2820,37,0
7,3120,40,0
7,3420,37,0
7,3720,34,0
7,480,39,0
7,780,24,0
7,1080,29,0
7,1380,31,0
7,1680,28,0
7,1980,28,0
7,2280,43,0
7,2580,29,0
7,2880,43,0
7,3180,38,0
7,3480,44,0
7,3780,37,0
7,540,26,1
7,840,39,1
7,1140,48,1
7,1440,48,1
7,1740,39,1
7,2040,29,1
7,2340,42,1
7,2640,36,1
7,2940,37,1
7,3240,29,1
7,3540,38,1
7,3840,36,1
7,600,44,1
7,900,31,1
7,1200,46,1
7,1500,20,1
7,1800,-1,1
7,2100,-1,1
7,2400,-1,1
7,2700,-1,1
7,3000,-1,1
7,3300,-1,1
7,3600,-1,1
7,3900,-1,1
7,660,-1,1
7,960,-1,1
7,1260,-1,1
7,1560,10,1
7,1860,26,1
7,2160,25,1
7,2460,22,1
7,2760,33,1
7,3060,31,1
7,3360,20,1
7,3660,20,1
7,3960,29,1
7,720,20,0
7,1020,30,0
7,1320,28,0
7,1620,26,0
7,1920,18,0
7,2220,32,0
7,2520,27,0
7,2820,27,0
7,3120,32,0
7,3420,29,0
7,3720,32,0
7,4020,20,0
7,780,26,1
7,1080,29,1
7,1380,34,1
7,1680,-1,1
7,1980,-1,1
7,2280,24,1
7,2580,34,1
7,2880,24,1
7,3180,27,1
7,3480,23,1
7,3780,27,1
7,4080,22,1
7,840,32,1
7,1140,20,1
7,1440,36,1
7,1740,30,1
7,2040,36,1
7,2340,41,1
7,2640,34,1
7,2940,33,1
7,3240,44,1
7,3540,33,1
7,3840,44,1
7,4140,36,1
7,900,29,1
7,1200,41,1
7,1500,38,1
7,1800,39,1
7,2100,41,1
7,2400,34,1
7,2700,39,1
7,3000,33,1
7,3300,30,1
7,3600,54,1
7,3900,29,1
7,4200,35,1
7,960,25,1
7,1260,33,1
7,1560,32,1
7,1860,34,1
7,2160,33,1
7,2460,35,1
7,2760,26,1
7,3060,29,1
7,3360,22,1
7,3660,36,1
7,3960,34,1
7,4260,33,1
7,1020,35,2
7,1320,40,2
7,1620,31,2
7,1920,35,2
7,2220,38,2
7,2520,27,2
7,2820,30,2
7,3120,26,2
7,3420,33,2
7,3720,29,2
7,4020,35,2
7,4320,25,2
7,1080,25,2
7,1380,22,2
7,1680,30,2
7,1980,43,2
7,2280,27,2
7,2580,41,2
7,2880,39,2
7,3180,33,2
7,3480,36,2
7,3780,31,2
7,4080,24,2
7,4380,20,2
7,1140,28,2
7,1440,41,2
7,1740,33,2
7,2040,36,2
7,2340,34,2
7,2640,35,2
7,2940,27,2
7,3240,27,2
7,3540,21,2
7,3840,34,2
7,4140,22,2
7,4440,25,2
7,1200,23,2
7,1500,20,2
7,1800,15,2
7,2100,20,2
7,2400,16,2
7,2700,27,2
7,3000,32,2
7,3300,20,2
7,3600,16,2
7,3900,16,2
7,4200,22,2
7,4500,16,2
7,1260,13,2
7,1560,14,2
7,1860,23,2
7,2160,18,2
7,2460,20,2
7,2760,23,2
7,3060,26,2
7,3360,28,2
7,3660,36,2
7,3960,25,2
7,4260,59,2
7,4560,50,2
7,1320,47,2
7,1620,59,2
7,1920,42,2
7,2220,44,2
7,2520,32,2
7,2820,50,2
7,3120,56,2
7,3420,41,2
7,3720,49,2
7,4020,38,2
7,4320,45,2
7,4620,34,2
7,1380,43,2
7,1680,36,2
7,1980,20,2
7,2280,21,2
7,2580,19,2
7,2880,14,2
7,3180,15,2
7,3480,14,2
7,3780,14,2
7,4080,12,2
7,4380,17,2
7,4680,10,2
3,0,11,0
3,300,10,0
3,600,8,0
3,900,14,0
3,1200,8,0
3,1500,6,0
3,1800,5,0
3,2100,7,0
3,2400,3,0
3,2700,7,0
3,3000,11,0
3,3300,6,0
3,60,10,0
3,360,3,0
3,660,2,0
3,960,2,0
3,1260,6,0
3,1560,5,0
3,1860,6,0
3,2160,6,0
3,2460,10,0
3,2760,3,0
3,3060,3,0
3,3360,11,0
3,120,6,0
3,420,1,0
3,720,1,0
3,1020,4,0
3,1320,7,0
3,1620,9,0
3,1920,6,0
3,2220,9,0
3,2520,6,0
3,2820,3,0
3,3120,2,0
3,3420,4,0
3,180,1,0
3,480,2,0
3,780,6,0
3,1080,3,0
3,1380,5,0
3,1680,3,0
3,1980,3,0
3,2280,5,0
3,2580,1,0
3,2880,2,0
3,3180,3,0
3,3480,3,0
3,240,3,0
3,540,1,0
3,840,2,0
3,1140,5,0
3,1440,1,0
3,1740,1,0
3,2040,0,0
3,2340,1,0
3,2640,2,0
3,2940,5,0
3,3240,6,0
3,3540,3,0
3,300,3,0
3,600,8,0
3,900,3,0
3,1200,5,0
3,1500,3,0
3,1800,4,0
3,2100,2,0
3,2400,3,0
3,2700,4,0
3,3000,10,0
3,3300,6,0
3,3600,2,0
3,360,2,0
3,660,5,0
3,960,5,0
3,1260,4,0
3,1560,14,0
3,1860,7,0
3,2160,15,0
3,2460,12,0
3,2760,9,0
3,3060,10,0
3,3360,11,0
3,3660,15,0
3,420,5,0
3,720,12,0
3,1020,15,0
3,1320,10,0
3,1620,13,0
3,1920,14,0
3,2220,14,0
3,2520,17,0
3,2820,21,0
3,3120,15,0
3,3420,23,0
3,3720,12,0
3,480,13,0
3,780,18,0
3,1080,21,0
3,1380,13,0
3,1680,13,0
3,1980,19,0
3,2280,23,0
3,2580,20,0
3,2880,30,0
3,3180,22,0
3,3480,21,0
3,3780,14,0
3,540,20,1
3,840,19,1
3,1140,27,1
3,1440,23,1
3,1740,21,1
3,2040,25,1
3,2340,22,1
3,2640,28,1
3,2940,32,1
3,3240,26,1
3,3540,34,1
3,3840,32,1
3,600,26,1
3,900,25,1
3,1200,22,1
3,1500,21,1
3,1800,18,1
3,2100,28,1
3,2400,21,1
3,2700,24,1
3,3000,27,1
3,3300,39,1
3,3600,27,1
3,3900,31,1
3,660,24,1
3,960,27,1
3,1260,40,1
3,1560,28,1
3,1860,24,1
3,2160,28,1
3,2460,22,1
3,2760,35,1
3,3060,33,1
3,3360,39,1
3,3660,26,1
3,3960,28,1
3,720,-1,0
3,1020,-1,0
3,1320,17,0
3,1620,26,0
3,1920,18,0
3,2220,34,0
3,2520,21,0
3,2820,32,0
3,3120,25,0
3,3420,28,0
3,3720,27,0
3,4020,29,0
3,780,26,1
3,1080,27,1
3,1380,25,1
3,1680,27,1
3,1980,28,1
3,2280,35,1
3,2580,30,1
3,2880,27,1
3,3180,37,1
3,3480,36,1
3,3780,31,1
3,4080,21,1
3,840,33,1
3,1140,34,1
3,1440,33,1
3,1740,35,1
3,2040,25,1
3,2340,28,1
3,2640,31,1
3,2940,31,1
3,3240,41,1
3,3540,33,1
3,3840,46,1
3,4140,32,1
3,900,38,1
3,1200,31,1
3,1500,33,1
3,1800,29,1
3,2100,35,1
3,2400,25,1
3,2700,31,1
3,3000,29,1
3,3300,27,1
3,3600,27,1
3,3900,28,1
3,4200,26,1
3,960,36,1
3,1260,32,1
3,1560,27,1
3,1860,40,1
3,2160,25,1
3,2460,38,1
3,2760,32,1
3,3060,16,1
3,3360,28,1
3,3660,22,1
3,3960,25,1
3,4260,25,1
3,1020,21,2
3,1320,21,2
3,1620,33,2
3,1920,26,2
3,2220,23,2
3,2520,25,2
3,2820,19,2
3,3120,19,2
3,3420,27,2
3,3720,22,2
3,4020,16,2
3,4320,25,2
3,1080,22,2
3,1380,16,2
3,1680,22,2
3,1980,25,2
3,2280,20,2
3,2580,26,2
3,2880,30,2
3,3180,30,2
3,3480,21,2
3,3780,24,2
3,4080,28,2
